Financing Country  (and entity),Financing Country,Institution,Project Name ,MW, Amount (in USD)  , Amount Sources , Estimated Amount2 , Total Project Value , TPV Sources , EPC Revenue , Insurance cover ,Financial Close Date,Year Financed,Region ,Recipient Country ,Recipient Subregion,Sponsors/Parents,Project Sponsor (GCPT)2,EPC Company,Generator Manufacturer,Turbine Maker,Boiler Maker,Sector Group ,Sector ,Latitude,Longitude,Location Accuracy,Phase ID,URL,Source 1,Source 2,Source 3+,GEMTrackerIDs,GEMTrackerLOC,Other and Chinese Names,OpYEAR,Plant Type ,Coal Mine Size (Mtpa)
United States (Commercial),United States (Commercial),General Electric,Matarbari Gas-Fired Power Plant (1800MW) & LNG Terminals,1800,,,,,,,,1/1/1950,2050,South Asia,Bangladesh,,,#N/A,,,,,Gas,Gas-Fired,,,,41005,,https://ijglobal.com/data/transaction/41005/matarbari-gas-fired-power-plant-1800mw-and-lng-terminals,,,,,,,,
EPC,,,Matarbari Kohelia power station,700,,,,,,,,1/1/1955,2055,South Asia,Bangladesh,Chittagong,"CPGCBL, Sembcorp",,,,,,Coal Power Plant,,21.70687,91.891,Exact,,http://bit.ly/2lKxOp6,http://powercell.portal.gov.bd/sites/default/files/files/powercell.portal.gov.bd/page/f6e4ea74_9d6f_4e71_9058_c9c235734bf1/Glimpses%20of%20Bangladesh%20Power%20Sector%20Book.pdf,,,G113388,L100068,,2029,Ultra-super,
China,China,TBD,Mirsarai power station (Hangzhou Jinjiang) (1320MW),1320,"$2,000,000,000 ",,,"$2,500,000,000 ",,,,1/1/1999,2099,South Asia,Bangladesh,Chittagong,"Bangladesh Power Development Board, Zhejiang Jindun Holding Group Company; PowerChina",,,,,,Coal Power Plant,,22.75763,91.46954,Exact,PH388.01,https://www.gem.wiki/Mirsarai_power_station_(Hangzhou_Jinjiang),,,,G112684-5,L100071,Mirshorai,2023,unknown,
China (Equity),China,"Hangzhou Jinjjang Group, Hangjhou Zhengcai Holding Group, Jindun Energy Equipment",Mirsarai power station (Hangzhou Jinjiang) (1320MW),1320,"$500,000,000 ",,,"$2,500,000,000 ",,,,1/1/1999,2099,South Asia,Bangladesh,Chittagong,"Bangladesh Power Development Board, Zhejiang Jindun Holding Group Company; PowerChina",,,,,,Coal Power Plant,,22.75763,91.46954,Exact,PH388.01,https://www.gem.wiki/Mirsarai_power_station_(Hangzhou_Jinjiang),,,,G112684-5,L100071,Mirshorai,2023,unknown,
China (Equity+EPC),China,China Huadian,Maheshkhali Coal Plant Huadian (1320MW),1320,,,"$300,000,000 ","$2,000,000,000 ",,,,1/1/1950,2050,South Asia,Bangladesh,"Maheshkhali Island Cox's Bazar, Chittagram?",Bangladesh Power Development Board (PDB) 50% ; China Huadian 50%,#N/A,,,,,Coal Power Plant,Coal Power - New,21.6,91.95,approximate,PH097.01,https://www.gem.wiki/Maheshkhali_power_station_(Huadian),https://www.thedailystar.net/business/deal-signed-chinese-firm-1320mw-plant-1572652,https://ijglobal.com/data/transaction/31769/maheshkhali-coal-fired-power-plant-1320mw,"https://www.marketforces.org.au/wp-content/uploads/2019/11/Choked-by-Coal_The-Carbon-Catastrophe-in-Bangladesh-FULL.pdf
http://www.chinadaily.com.cn/m/powerchina/2018-12/27/content_37420141.htm",,L100066,,2022,Ultrasupercritical,
Multilateral,Multilateral,Asian Development Bank (ADB),Ashuganj Coal Plant (400-420MW),420,,,," Tk. 2,931 crore  ",,,,1/1/1950,2050,South Asia,Bangladesh,,Ashuganj Power Station Company Limited (APSCL) ,,China National Technical Import and Export Corporation (CNTIC) and China National Corp. for Overseas Economic Cooperation (CCOEC) ,,,,Coal Power Plant,Coal Power - New,add,add,,add,,http://global.chinadaily.com.cn/a/201803/21/WS5ab141c6a3106e7dcc143f44.html,http://www.xinhuanet.com/english/2018-03/21/c_137053353_2.htm,,,,,,,
Japan,Japan,Japan International Cooperation Agency (JICA),Matabari Coal Fired Power Generation Hub (1200MW),1200,"$608,000,000 ",,,"$4,510,000,000 ",,,,6/1/2018,2018,South Asia,Bangladesh,Matabari,"Sumitomo Corp, IHI, Toshiba, Penta-Ocean Construction",,Sumitomo Corporation (SUMITOMO),,Toshiba Manufacturing Co (TOSHIBA),,Coal Power Plant,Coal Power Plant - New,21.702379,91.86667,,PH099.01,http://bit.ly/1lR71O5,"http://www.sourcewatch.org/index.php/Matarbari_power_station
https://www.jica.go.jp/english/news/press/2017/170629_02.html",https://ijglobal.com/data/transaction/31130/matarbari-coal-fired-power-plant-1200mw,"https://www.jica.go.jp/english/our_work/social_environmental/id/asia/south/bangladesh/c8h0vm000090ry4d.html
https://energybangla.com/japanese-marubeni-sumitomo-at-last-reverted-to-matarbari/

http://www.jica.go.jp/english/news/press/2014/140616_02.html",,L100069,,,Ultrasupercritical,
Japan,Japan,Japan International Cooperation Agency (JICA),Matarbari Coal Plant Expansion (1200 MW),1200,"$1,325,720,000 ",,,,,,,1/1/1950,2050,Southeast Asia,Bangladesh,,"Coal Power Generation Company Bangladesh, Sumitomo Corporation",Sumitomo,,,Toshiba,,Coal Power Plant, Coal Power ,21.702379,91.883336,approximate,PH336.01,https://www.gem.wiki/Matarbari_power_station,https://ijglobal.com/data/transaction/31130/matarbari-coal-fired-power-plant-1200mw,http://jacses.org/en/wp-content/uploads/2020/04/5reasonsmatarbarien-4.pdf,https://www.marketforces.org.au/wp-content/uploads/2019/11/Choked-by-Coal_The-Carbon-Catastrophe-in-Bangladesh-FULL.pdf,G114222-3,L100069,,2022,Ultrasupercritical,
,,,North-Bengal (Gaibandha) 1320MW Ultra Super Critical Power Plant,1320,,,,,,,,1/1/1955,2055,South Asia,Bangladesh,Gaibandha,APSCL,,,,,,Coal Power Plant,Coal Power - New,,,,,,http://apscl.portal.gov.bd/sites/default/files/files/apscl.portal.gov.bd/annual_reports/2c278aeb_ff1a_4e26_9dc3_2550805f9efe/cb40f1f62e9ac03215ba138a934bb8bd.pdf,,,,,,,,
China,TBD,TBD - first phase with EnergyChina,Patuakhali coal plant Ashuganj Phase II (1320MW),1320,,,,,,,,1/1/1955,2055,South Asia,Bangladesh,Barisal,APSCL,#N/A,,,,,Coal Power Plant,Coal Power - New,21.986667,90.241667,approximate,PH370.02,https://www.gem.wiki/Patuakhali_power_station_(Ashuganj),https://www.apscl.com/home/fdplan,,,,,,,,
China,China,China Export & Credit Insurance Corporation (Sinosure),Patuakhali coal plant BCPCL (1320MW),1320,,,,"$2,060,000,000 ",,,,1/1/1950,2050,South Asia,Bangladesh,"Patuakhali, Payra",Bangladesh-China Power Company Limited (BCPCL) [North-West Power Generation and China National Machinery Import and Export Corp (CMC - Genertec)],#N/A,CECC and NEPC [Genertec; EnergyChina] 1.44B USD,,,,Coal Power Plant,Coal Power - New,21.986667,90.241667,approximate,PH371.01,https://www.gem.wiki/Patuakhali_power_station_(BCPCL),"https://www.bcpcl.org.bd/files/pdf/41-1593795785.pdf
http://www.bcpcl.org.bd/power-plant",,,,,,2022,,
China,China,Export Import Bank of China (Chexim),Patuakhali coal plant BCPCL (1320MW),1320,,,"$1,648,000,000 ","$2,060,000,000 ",,,,1/1/1950,2050,South Asia,Bangladesh,"Patuakhali, Payra",Bangladesh-China Power Company Limited (BCPCL) [North-West Power Generation and China National Machinery Import and Export Corp (CMC - Genertec)],#N/A,CECC and NEPC [Genertec; EnergyChina] 1.44B USD,,,,Coal Power Plant,Coal Power - New,21.986667,90.241667,approximate,PH371.01,https://www.gem.wiki/Patuakhali_power_station_(BCPCL),"https://www.bcpcl.org.bd/files/pdf/41-1593795785.pdf
http://www.nwpgcl.org.bd/on-going-projects",http://eqms.com.bd/index.php/details/84-portfolio/100-eia-of-payra-1320-mw-coal-fired-power-plant-1st-2nd-phase-project-at-dhankhali-kalapara-patuakhali,http://ztenco.com/assets/download/ztenco-profile.pdf,,,,2022,,
China (EPC),China,EnergyChina,Patuakhali coal plant BCPCL (1320MW),1320,,,,"$2,060,000,000 ",,,,1/1/1950,2050,South Asia,Bangladesh,"Patuakhali, Payra",Bangladesh-China Power Company Limited (BCPCL) [North-West Power Generation 50% and China National Machinery Import and Export Corp (CMC - Genertec)] 50%,#N/A,CECC and NEPC [Genertec; EnergyChina] 1.44B USD,,,,Coal Power Plant,Coal Power - New,21.986667,90.241667,approximate,PH371.01,https://www.gem.wiki/Patuakhali_power_station_(BCPCL),"https://www.bcpcl.org.bd/files/pdf/41-1593795785.pdf
http://www.bcpcl.org.bd/power-plant",,,,,,2022,,
China (Equity+EPC),China,Genertec,Patuakhali coal plant BCPCL (1320MW),1320, $ -   ,,,"$2,060,000,000 ",,,,1/1/1950,2050,South Asia,Bangladesh,"Patuakhali, Payra",Bangladesh-China Power Company Limited (BCPCL) [North-West Power Generation and China National Machinery Import and Export Corp (CMC - Genertec)],#N/A,CECC and NEPC [Genertec; EnergyChina] 1.44B USD,,,,Coal Power Plant,Coal Power - New,21.986667,90.241667,approximate,PH371.01,https://www.gem.wiki/Patuakhali_power_station_(BCPCL),"https://www.bcpcl.org.bd/files/pdf/41-1593795785.pdf
http://www.bcpcl.org.bd/power-plant",,,,,,2022,,
China,TBD,First phase EnergyChina,Patuakhali power station NORINCO - Phase II (1320MW),1320,,,,,,,,1/1/1955,2055,South Asia,Bangladesh,"Barisal, Payra",,#N/A,,,,,Coal Power Plant,Coal Power Plant - Expansion,22.0277875,90.2776735,approximate,PH124.03,https://www.gem.wiki/Patuakhali_power_station_(RPCL/NORINCO),https://www.marketforces.org.au/wp-content/uploads/2019/11/Choked-by-Coal_The-Carbon-Catastrophe-in-Bangladesh-FULL.pdf,,,,,,,,
China,China,China Export & Credit Insurance Corporation (Sinosure),Patuakhali power station NORINCO (1320MW),1320,,,,"$2,000,000,000 ",,,,1/1/1950,2050,South Asia,Bangladesh,"Barisal, Payra","RNPL/RPCL, China Northern International NORINCO",#N/A,China Wanbao,,,,Coal Power Plant,Coal Power Plant - Expansion,22.0277875,90.2776735,approximate,PH124.02,https://www.gem.wiki/Patuakhali_power_station_(RPCL/NORINCO),http://www.ceec.net.cn/art/2020/3/27/art_11019_2090917.html,http://www.xjdgw.net/a/jrrd/20200403-220.html,"https://www.marketforces.org.au/wp-content/uploads/2019/11/Chokehttps://www.daily-sun.com/home/printnews/216820d-by-Coal_The-Carbon-Catastrophe-in-Bangladesh-FULL.pdf
http://www.rnpl.com.bd/media/downloads/RNPL_Profile_0c1pK5w.pdf

http://www.rnpl.com.bd/about-us/company-profile/",,,ŠüàŒ¨ŒÉÂŒü‹ÛŠü_ŒÝ_Œ_Óµ¤ÔŒá´ŽÝ ŒÝ¢¾ÏäŽªŒÉÂŒü‹ÛŠü_ŒÝ_Ä_¾¼ŒÈ¼¨_ŽÝ ŒÝ¢Œ_©¾«´ÓµŒ_ÝÈã EnergyChina,,,
China,China,Export Import Bank of China (Chexim),Patuakhali power station NORINCO (1320MW),1320,"$1,400,000,000 ",,,"$2,000,000,000 ",,,,1/1/1950,2050,South Asia,Bangladesh,"Barisal, Payra","RNPL/RPCL, China Northern International NORINCO",#N/A,China Wanbao,,,,Coal Power Plant,Coal Power Plant - Expansion,22.0277875,90.2776735,approximate,PH124.02,https://www.gem.wiki/Patuakhali_power_station_(RPCL/NORINCO),http://www.ceec.net.cn/art/2020/3/27/art_11019_2090917.html,http://www.xjdgw.net/a/jrrd/20200403-220.html,"https://www.marketforces.org.au/wp-content/uploads/2019/11/Chokehttps://www.daily-sun.com/home/printnews/216820d-by-Coal_The-Carbon-Catastrophe-in-Bangladesh-FULL.pdf
http://www.rnpl.com.bd/media/downloads/RNPL_Profile_0c1pK5w.pdf

http://www.rnpl.com.bd/about-us/company-profile/",,,ŠüàŒ¨ŒÉÂŒü‹ÛŠü_ŒÝ_Œ_Óµ¤ÔŒá´ŽÝ ŒÝ¢¾ÏäŽªŒÉÂŒü‹ÛŠü_ŒÝ_Ä_¾¼ŒÈ¼¨_ŽÝ ŒÝ¢Œ_©¾«´ÓµŒ_ÝÈã EnergyChina,,,
China (EPC),China,EnergyChina,Patuakhali power station NORINCO (1320MW),1320,,,,"$2,000,000,000 ",,,,1/1/1950,2050,South Asia,Bangladesh,"Barisal, Payra","RNPL/RPCL, China Northern International NORINCO",#N/A,China Wanbao,,,,Coal Power Plant,Coal Power Plant - Expansion,22.0277875,90.2776735,approximate,PH124.02,https://www.gem.wiki/Patuakhali_power_station_(RPCL/NORINCO),http://www.ceec.net.cn/art/2020/3/27/art_11019_2090917.html,http://www.xjdgw.net/a/jrrd/20200403-220.html,"https://www.marketforces.org.au/wp-content/uploads/2019/11/Chokehttps://www.daily-sun.com/home/printnews/216820d-by-Coal_The-Carbon-Catastrophe-in-Bangladesh-FULL.pdf
http://www.rnpl.com.bd/media/downloads/RNPL_Profile_0c1pK5w.pdf

http://www.rnpl.com.bd/about-us/company-profile/",,,ŠüàŒ¨ŒÉÂŒü‹ÛŠü_ŒÝ_Œ_Óµ¤ÔŒá´ŽÝ ŒÝ¢¾ÏäŽªŒÉÂŒü‹ÛŠü_ŒÝ_Ä_¾¼ŒÈ¼¨_ŽÝ ŒÝ¢Œ_©¾«´ÓµŒ_ÝÈã EnergyChina,,,
China (equity),China,NORINCO,Patuakhali power station NORINCO (1320MW),1320,"$300,000,000 ",,,"$2,000,000,000 ",,,,1/1/1950,2050,South Asia,Bangladesh,"Barisal, Payra","RNPL/RPCL, China Northern International NORINCO",#N/A,China Wanbao,,,,Coal Power Plant,Coal Power Plant - Expansion,22.0277875,90.2776735,approximate,PH124.02,https://www.gem.wiki/Patuakhali_power_station_(RPCL/NORINCO),http://www.ceec.net.cn/art/2020/3/27/art_11019_2090917.html,http://www.xjdgw.net/a/jrrd/20200403-220.html,"https://www.marketforces.org.au/wp-content/uploads/2019/11/Chokehttps://www.daily-sun.com/home/printnews/216820d-by-Coal_The-Carbon-Catastrophe-in-Bangladesh-FULL.pdf
http://www.rnpl.com.bd/media/downloads/RNPL_Profile_0c1pK5w.pdf

http://www.rnpl.com.bd/about-us/company-profile/",,,ŠüàŒ¨ŒÉÂŒü‹ÛŠü_ŒÝ_Œ_Óµ¤ÔŒá´ŽÝ ŒÝ¢¾ÏäŽªŒÉÂŒü‹ÛŠü_ŒÝ_Ä_¾¼ŒÈ¼¨_ŽÝ ŒÝ¢Œ_©¾«´ÓµŒ_ÝÈã EnergyChina,,,
China,China,China Export & Credit Insurance Corporation (Sinosure),Payra Patuakhali coal power station in Kalapara (1320MW),1320,,,,"$2,480,000,000 ",,,,10/14/2016,2016,South Asia,Bangladesh,"Kalapara Upazila - Patuakhali Dist, Barisal",Bangladesh-China Power Company Ltd (BCPCL) ‰ÛÒ  50-50 North-West Power Generation Company of Bangladesh and China National Machinery Import and Export Corporation,,Northeast No 1 Electric Power Construction (NEPC1),Dongfang Electric Corp (DONGFANG),,,Coal Power Plant,Coal Power Plant - New,22.001974,90.30821,exact,PH124.01,https://www.gem.wiki/Payra_power_station,"http://www.eximbank.gov.cn/tm/Newdetails/index.aspx?nodeid=343&page=ContentPage&categoryid=0&contentid=29406 
","http://archive.newagebd.net/252773/rampal-payra-coal-fired-power-plants/
","http://www.reuters.com/article/us-bangladesh-power-protest-idUSKBN15H0L3
http://www.cec.org.cn/zdldongtai/benbudongtai/2018-06-28/182159.html
http://www.xinhuanet.com/english/2020-01/14/c_138703819.htm
https://www.euronews.com/2019/06/23/chinese-funded-power-plant-in-bangladesh-delayed-after-workers-clash
https://www.bcpcl.org.bd/files/pdf/annual_report_2018.pdf",,L100058,,2019,Ultrasupercritical,
China,China,Genertec,Payra Patuakhali coal power station in Kalapara (1320MW),1320,"$248,000,000 ",,,"$2,480,000,000 ",,,,10/14/2016,2016,South Asia,Bangladesh,"Kalapara Upazila - Patuakhali Dist, Barisal",Bangladesh-China Power Company Ltd (BCPCL) ‰ÛÒ  50-50 North-West Power Generation Company of Bangladesh and China National Machinery Import and Export Corporation,,Northeast No 1 Electric Power Construction (NEPC1),Dongfang Electric Corp (DONGFANG),,,Coal Power Plant,Coal Power Plant - New,22.001974,90.30821,exact,PH124.01,https://www.gem.wiki/Payra_power_station,"http://www.eximbank.gov.cn/tm/Newdetails/index.aspx?nodeid=343&page=ContentPage&categoryid=0&contentid=29406 
","http://archive.newagebd.net/252773/rampal-payra-coal-fired-power-plants/
","http://www.reuters.com/article/us-bangladesh-power-protest-idUSKBN15H0L3
http://www.cec.org.cn/zdldongtai/benbudongtai/2018-06-28/182159.html
http://www.xinhuanet.com/english/2020-01/14/c_138703819.htm
https://www.euronews.com/2019/06/23/chinese-funded-power-plant-in-bangladesh-delayed-after-workers-clash
https://www.bcpcl.org.bd/files/pdf/annual_report_2018.pdf",,L100058,,2019,Ultrasupercritical,
China,China,Export Import Bank of China (Chexim),Payra Patuakhali coal power station in Kalapara (1320MW),1320,"$1,984,000,000 ",,,"$2,480,000,000 ",,,,10/14/2016,2016,South Asia,Bangladesh,"Kalapara Upazila - Patuakhali Dist, Barisal",Bangladesh-China Power Company Ltd (BCPCL) ‰ÛÒ  50-50 North-West Power Generation Company of Bangladesh and China National Machinery Import and Export Corporation,,Northeast No 1 Electric Power Construction (NEPC1),Dongfang Electric Corp (DONGFANG),,,Coal Power Plant,Coal Power Plant - New,22.001974,90.30821,exact,PH124.01,https://www.gem.wiki/Payra_power_station,"http://www.eximbank.gov.cn/tm/Newdetails/index.aspx?nodeid=343&page=ContentPage&categoryid=0&contentid=29406 

https://www.bcpcl.org.bd/power-plant","http://archive.newagebd.net/252773/rampal-payra-coal-fired-power-plants/
","http://www.reuters.com/article/us-bangladesh-power-protest-idUSKBN15H0L3
http://www.cec.org.cn/zdldongtai/benbudongtai/2018-06-28/182159.html
http://www.xinhuanet.com/english/2020-01/14/c_138703819.htm
https://www.euronews.com/2019/06/23/chinese-funded-power-plant-in-bangladesh-delayed-after-workers-clash
https://www.bcpcl.org.bd/files/pdf/annual_report_2018.pdf
https://www.bcpcl.org.bd/power-plant",,L100058,,2019,Ultrasupercritical,
China (Equity+EPC),China,EnergyChina,Phulbari Coal Plant - EnergyChina (2000MW),2000,,,"$342,000,000 ","$3,800,000,000 ",,"$3,800,000,000 ",,1/1/1950,2050,South Asia,Bangladesh,"Phulbari Upazila, Dinajpur district, Rangpur division",GCM; China Gezhouba (EnergyChina),#N/A,China Gezhouba (EnergyChina),,,,Coal Power Plant,Coal,25.516667,88.883333,approximate,PH354.01,https://www.gem.wiki/Phulbari_Coal_Project_(China_Gezhouba),http://www.morningstar.co.uk/uk/news/AN_1567602924380139500/gcm-resources-inks-consultancy-deal-to-advance-phulbari-coal-project.aspx,http://www.xinhuanet.com/english/2019-01/18/c_137754936.htm,"https://www.marketforces.org.au/wp-content/uploads/2019/11/Choked-by-Coal_The-Carbon-Catastrophe-in-Bangladesh-FULL.pdf
http://www.gcmplc.com/sites/default/files/inline-files/gcm--power-china-press-release.pdf
http://www.morningstar.co.uk/uk/news/AN_1567602924380139500/gcm-resources-inks-consultancy-deal-to-advance-phulbari-coal-project.aspx
http://www.gcmplc.com/sites/default/files/2019-11/gcm-annual-report-2019.pdf
http://www.poloresources.com/PDF/30032020-Interim-Results-for-the-Six-Months-Ended-31-Dec-2019.pdf
https://phulbarisolidaritygroup.blog/",,,,,,
China (Equity+EPC),China,PowerChina,Phulbari Mine-Mouth Coal-Fired Power Plant Expansion (2000MW),4000,,,"$240,000,000 ","$4,000,000,000 ",,"$3,500,000,000 ",,1/1/1950,2050,South Asia,Bangladesh,"Phulbari upazila, Dinajpur district, Rangpur division, Bangladesh",GCM Resources; PowerChina,#N/A,PowerChina,,,,Coal Power Plant,Coal,25.9468733,89.5532405,exact,PH126.01,https://www.gem.wiki/Phulbari_Coal_Project_(Sinohydro),"https://www.nsenergybusiness.com/news/gcm-powerchina-power-project/
http://www.cec.org.cn/zdlhuiyuandongtai/qita/2019-01-22/188364.html
https://phulbarisolidaritygroup.blog/
https://www.ippjournal.com/news/ipptoday-182-contract-framework-agreement-signed-for-2000-mw-coal-fired-power-plant-in-bangladesh",http://news.bjx.com.cn/html/20191230/1032440.shtml,"https://www.marketforces.org.au/wp-content/uploads/2019/11/Choked-by-Coal_The-Carbon-Catastrophe-in-Bangladesh-FULL.pdf
http://www.gcmplc.com/sites/default/files/inline-files/gcm--power-china-press-release.pdf
http://www.morningstar.co.uk/uk/news/AN_1567602924380139500/gcm-resources-inks-consultancy-deal-to-advance-phulbari-coal-project.aspx
http://www.gcmplc.com/sites/default/files/2019-11/gcm-annual-report-2019.pdf
http://www.poloresources.com/PDF/30032020-Interim-Results-for-the-Six-Months-Ended-31-Dec-2019.pdf",,L100081,,,,
India,India,Export-Import Bank of India,Rampal Maitree Coal Fired Power Plant (1320MW),1320,"$1,600,000,000 ",,,"$1,600,000,000 ",,,,4/1/2017,2017,South Asia,Bangladesh,Rampal,Bangladesh India Friendship Power Company Ltd (BIFPCL): Power Development Board (PDB) & India's National Thermal Power Corporation (NTPC) ,,Bharat Heavy Electricals (BHEL); General Electric (GE),Bharat Heavy Electricals (BHEL),,,Coal Power Plant,Coal Power - New,22.5712191,89.5662117,,PH137.01,http://bit.ly/1erPiul,https://ijglobal.com//data/transaction/35706/maitree-coal-fired-power-power-plant-1320mw,https://ijglobal.com/data/transaction/35706/maitree-coal-fired-power-power-plant-1320mw,http://www.observerbd.com/details.php?id=36801,,L100077,,2022,Ultrasupercritical,
TBD,TBD,TBD,Sena Kalyan Sangstha power station (1200MW),1200,,,,,,,,1/1/1955,2055,South Asia,Bangladesh,"Payra Port, Kalapara upazila (subdistrict), Dhankhali, Patuakhali district",Sena Kalyan Sangstha,#N/A,,,,,Coal Power Plant,,21.989,90.2792,Exact,,https://www.gem.wiki/Sena_Kalyan_Sangstha_power_station,,,,G11422; G114225,L104588,,,,
